abierta	adjunto
abierta	cercado
abierta	incluido
abierto	cerrado
abierto	oculto
abordable	inabordable
absoluto	comparativo
absoluto	relativo
abstracto	concreto
abultado	cóncavo
abundante	escaso
aburrido	inspirador
accesible	inabordable
aceptable	inaceptable
aceptable	inadmisible
aceptable	inconveniente
acertado	erróneo
acertado	inadecuado
acertado	incorrecto
acertado	inigual
activo	inactivo
activo	pasivo
actual	futuro
adecuada	inadecuado
adecuada	inigual
adecuado	inadecuado
adecuado	inigual
adeudado	indebido
adorable	despreciable
adorable	odioso
adosado	independiente
adosado	separado
adosado	suelto
afrodisiaco	anafrodisiaco
agitado	calmado
agitado	relajado
agitado	tranquilo
agotado	disponible
agradable	desagradable
agradable	fastidioso
agradable	grosero
agradable	horrible
agradable	incompatible
agradable	molesto
agradable	ofensivo
agradado	disgustado
agregado	independiente
agregado	separado
agregado	suelto
agresivo	manso
agudo	bajo
agudo	crónico
agudo	grave
agudo	sordo
ahorrador	derrochador
ahorrador	derrochar
ahorrativo	derrochador
ahorrativo	derrochar
alcohólico	blando
alegre	desdichado
alegre	triste
alejado	cercano
alejado	íntimo
algo	ningún
algo	todo
alto	bajo
alto	corto
alto	suave
amable	cruel
amable	despreciable
amable	odioso
amigo	hostil
amistoso	hostil
amistoso	malo
amoroso	arisco
amoroso	descariñado
amplio	estrecho
anafrodisiaco	sexy
ancho	estrecho
anejo	independiente
anejo	separado
anejo	suelto
anexo	independiente
anexo	separado
anexo	suelto
animado	gris
animado	inanimado
animado	inánime
animado	lento
animado	sombrío
aniónico	catiónico
anormal	común
anormal	corriente
anormal	normal
anterior	posterior
antiguo	moderno
antipático	comprensivo
anual	perenne
apagado	encendido
aparejado	desaparejado
aparejado	desequipado
aplacable	implacable
apropiado	inadecuado
apropiado	inigual
apropiado	injusto
arbitrario	justo
arbitrario	recto
arisco	cariñoso
arisco	social
armonioso	desacorde
armonioso	inarmónico
artificial	natural
artificiosa	ingenuo
ascendente	descendiente
ascendiente	descendiente
astuto	ingenuo
astuto	sencillo
atento	descuidado
atento	despreocupado
atento	olvidadizo
atento	torpe
ateo	religioso
atómico	convencional
audaz	tímido
audible	inaudible
ausente	presente
automático	manual
auténtico	falseado
auténtico	falsificado
auténtico	falso
auténtico	imitado
auténtico	imitativo
barato	caro
barato	costoso
bello	desagradable
bello	feo
bicameral	unicameral
bisexual	homosexual
blanco	negro
blando	duro
blando	endurecido
blando	fuerte
bobinado	desenroscado
bobinado	recto
bonito	desagradable
bonito	feo
bonito	horrible
bueno	malo
bueno	malvado
bueno	triste
calmado	inquieto
capaz	inadecuado
capaz	incapaz
capaz	inigual
característico	inusual
cariñoso	descariñado
cariñoso	duro
cariñoso	severo
casado	soltero
cautivador	desagradable
cautivador	feo
cenogenético	palingenésico
central	periférico
cercano	distante
cercano	lejano
cercano	remota
cercano	remoto
civil	militar
claro	confuso
claro	impreciso
claro	opaco
claro	oscuro
clemente	inclemente
coherente	incoherente
compacto	derretido
compacto	deshielado
compacto	flojo
compacto	licuado
compacto	líquido
comparativo	completo
comparativo	perfecto
comparativo	puro
comparativo	total
compasivo	duro
compatible	incompatible
complejo	sencillo
complejo	simple
completo	incompleto
completo	parcial
completo	relativo
comprensible	incomprensible
comprensible	inconmensurable
común	excepcional
común	extraordinario
común	individual
común	insólito
común	singular
condicional	incondicional
confuso	definido
confuso	marcado
conjunto	separado
conocido	desconocido
conocido	incógnito
consciente	descuidado
consciente	despreocupado
consciente	inconsciente
consciente	involuntario
consciente	olvidadizo
consciente	torpe
conservador	liberal
considerable	insignificante
considerado	descuidado
considerado	despreocupado
considerado	olvidadizo
considerado	torpe
constitucional	inconstitucional
contaminado	impoluto
contento	disgustado
contento	triste
continuado	discontínuo
contínuo	discontínuo
